               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  27,            0.056816,            0.023698,                   0,             0.35248,                 0.5,             0.27962,            0.082718,            0.055431,            0.010145,                   0,           0.0063229,           0.0063229,           0.0063229
                  28,            0.057711,            0.023977,                   0,              0.8871,             0.66667,             0.72905,             0.27672,            0.045756,           0.0099699,                   0,           0.0061814,           0.0061814,           0.0061814
                  29,            0.057608,            0.023891,                   0,             0.59367,                 0.5,              0.5586,             0.25668,            0.050007,           0.0091821,                   0,             0.00604,             0.00604,             0.00604
                  30,            0.048983,            0.020111,                   0,             0.74939,             0.49858,             0.56457,             0.13801,            0.048519,           0.0083733,                   0,           0.0058986,           0.0058986,           0.0058986
                  31,            0.054174,            0.021202,                   0,             0.56156,                0.75,              0.5886,             0.18313,            0.048619,           0.0086746,                   0,           0.0057571,           0.0057571,           0.0057571
                  32,             0.04851,            0.019115,                   0,             0.74753,                0.75,             0.77151,             0.34978,            0.047309,           0.0079721,                   0,           0.0056157,           0.0056157,           0.0056157
                  33,            0.053412,            0.022039,                   0,             0.47605,             0.83333,             0.46948,             0.15348,             0.04903,           0.0084993,                   0,           0.0054743,           0.0054743,           0.0054743
                  34,            0.049101,            0.023147,                   0,             0.79986,             0.66613,             0.74622,             0.27795,            0.040274,           0.0084895,                   0,           0.0053329,           0.0053329,           0.0053329
                  35,            0.049548,            0.022103,                   0,             0.63588,             0.58333,             0.61467,             0.16688,            0.044158,           0.0084484,                   0,           0.0051914,           0.0051914,           0.0051914
                  36,            0.048881,            0.019291,                   0,             0.77753,             0.58333,             0.70351,              0.2244,            0.040997,           0.0084654,                   0,             0.00505,             0.00505,             0.00505
                  37,            0.046624,            0.021128,                   0,             0.85714,             0.49997,             0.64113,             0.27092,            0.042166,           0.0081718,                   0,           0.0049086,           0.0049086,           0.0049086
